word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.018625646000145935,0.04789977899781661,1.0076711069996236,,,,,,,,,,,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
RED,blue,I,b,0,0,0,b,1,1.2196961750014452,None,0,0,0,1,1.0349914559992612,,,,,1.0233125540034962,1.0349914559992612,1.4997274199995445,1.4997274199995445,1.4997274199995445,3.036143188997812,b,1,1.2196961750014452,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
BLUE,red,I,r,1,1,0,r,1,0.2783435780002037,None,0,1,1,2,3.055480743001681,,,,,3.0413831420009956,3.055480743001681,3.532566832996963,3.532566832996963,3.532566832996963,3.815746186002798,r,1,0.2783435780002037,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
RED,red,C,r,2,2,0,r,1,0.37946319700131426,None,0,2,2,0,3.8404993290023413,,,,,3.818049235997023,3.8404993290023413,4.316273015996558,4.316273015996558,4.316273015996558,4.698989406999317,r,1,0.37946319700131426,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.32911856900318526,None,0,3,3,3,4.714268228999572,,,,,4.701610028998402,4.714268228999572,5.199645941000199,5.199645941000199,5.199645941000199,5.531960448002792,b,1,0.32911856900318526,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
RED,blue,I,b,4,0,1,r,0,0.295064141995681,None,1,0,4,1,5.542534498999885,,,,,5.534281724998436,5.542534498999885,6.032763415001682,6.032763415001682,6.032763415001682,6.332292293001956,r,0,0.295064141995681,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.5627763000011328,None,1,1,5,3,6.3573031990017626,,,,,6.334614277002402,6.3573031990017626,6.8330153209972195,6.8330153209972195,6.8330153209972195,7.399379021997447,b,1,0.5627763000011328,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
RED,red,C,r,6,2,1,r,1,0.5360317200029385,None,1,2,6,0,7.411052347000805,,,,,7.401725069998065,7.411052347000805,7.899728689000767,7.899728689000767,7.899728689000767,8.442164929001592,r,1,0.5360317200029385,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
BLUE,red,I,r,7,3,1,r,1,0.5557071449948126,None,1,3,7,2,8.452327997998509,,,,,8.444495338997513,8.452327997998509,8.932977782002126,8.932977782002126,8.932977782002126,9.492348337000294,r,1,0.5557071449948126,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
RED,red,C,r,8,0,2,r,1,0.39170722500421107,None,2,0,8,0,9.502741417003563,,,,,9.49466688800021,9.502741417003563,9.98292386400135,9.98292386400135,9.98292386400135,10.376177197998913,r,1,0.39170722500421107,None,,,,,03,001,2025-08-26_09h37.03.210,stroop,,2025.1.1,81.33220128848838,2025-08-26 09h38.56.873009 +0530,
