word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.018508310997276567,0.05045417200017255,1.00885300799564,,,,,,,,,,,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,0,0,0,b,1,1.4902297829976305,None,0,0,0,3,1.0429327739984728,,,,,1.0318266159956693,1.0429327739984728,1.4992358550007339,1.4992358550007339,1.4992358550007339,3.37759106199519,b,1,1.4902297829976305,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,1,1,0,b,1,0.48464125499594957,None,0,1,1,1,3.3967572129986365,,,,,3.38187249800103,3.3967572129986365,3.875189362996025,3.875189362996025,3.875189362996025,4.366413477000606,b,1,0.48464125499594957,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,2,2,0,r,1,0.3620062360059819,None,0,2,2,0,4.389962902998377,,,,,4.367001991995494,4.389962902998377,4.865772639997886,4.865772639997886,4.865772639997886,5.232858308998402,r,1,0.3620062360059819,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,3,3,0,r,1,0.5926153749969671,None,0,3,3,2,5.257845702995837,,,,,5.235393283997837,5.257845702995837,5.733093901995744,5.733093901995744,5.733093901995744,6.333108550999896,r,1,0.5926153749969671,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,4,0,1,b,1,1.1005786400055513,None,1,0,4,1,6.344975494997925,,,,,6.3358367339969845,6.344975494997925,6.8247308770005475,6.8247308770005475,6.8247308770005475,7.926923496997915,b,1,1.1005786400055513,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,5,1,1,r,1,0.3288866590010002,None,1,1,5,0,7.933508083995548,,,,,7.927488335997623,7.933508083995548,8.425739605998388,8.425739605998388,8.425739605998388,8.760082841996336,r,1,0.3288866590010002,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.4705445379950106,None,1,2,6,3,8.770550537999952,,,,,8.762447281995264,8.770550537999952,9.2591143690006,9.2591143690006,9.2591143690006,9.733767899000668,b,1,0.4705445379950106,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,7,3,1,r,1,0.6575775999954203,None,1,3,7,2,9.742736711996258,,,,,9.734346835000906,9.742736711996258,10.233935579999525,10.233935579999525,10.233935579999525,10.89348119499482,r,1,0.6575775999954203,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,8,0,2,b,1,0.4158194069968886,None,2,0,8,1,10.90408105199458,,,,,10.8959047909957,10.90408105199458,11.392697666000458,11.392697666000458,11.392697666000458,11.81010163299652,b,1,0.4158194069968886,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,9,1,2,b,1,0.37434573200152954,None,2,1,9,3,11.820708669998567,,,,,11.81252403200051,11.820708669998567,12.309115124000527,12.309115124000527,12.309115124000527,12.693093753994617,b,1,0.37434573200152954,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,10,2,2,r,1,0.38130507599998964,None,2,2,10,0,12.703829613994458,,,,,12.69568366099702,12.703829613994458,13.192226255996502,13.192226255996502,13.192226255996502,13.576567652999074,r,1,0.38130507599998964,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,11,3,2,r,1,0.6310383570016711,None,2,3,11,2,13.586995161997038,,,,,13.578924178000307,13.586995161997038,14.067259493000165,14.067259493000165,14.067259493000165,14.7003548329958,r,1,0.6310383570016711,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,12,0,3,r,1,0.3468945559943677,None,3,0,12,0,14.712388470994483,,,,,14.702743738998834,14.712388470994483,15.199432294000871,15.199432294000871,15.199432294000871,15.549896332995559,r,1,0.3468945559943677,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,13,1,3,b,1,0.2794493309993413,None,3,1,13,1,15.558618265997211,,,,,15.55046205099643,15.558618265997211,16.0499107489959,16.0499107489959,16.0499107489959,16.3332717939993,b,1,0.2794493309993413,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,14,2,3,b,1,0.4422819489991525,None,3,2,14,3,16.34503704699455,,,,,16.33565279100003,16.34503704699455,16.833878118995926,16.833878118995926,16.833878118995926,17.283314890999463,b,1,0.4422819489991525,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,15,3,3,r,1,1.046592476996011,None,3,3,15,2,17.292116555996472,,,,,17.283883500997035,17.292116555996472,17.782629014000122,17.782629014000122,17.782629014000122,18.833271748997504,r,1,1.046592476996011,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,16,0,4,b,1,0.6087417109956732,None,4,0,16,1,18.84503458799736,,,,,18.83567208200111,18.84503458799736,19.33435130699945,19.33435130699945,19.33435130699945,19.950412132995552,b,1,0.6087417109956732,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,17,1,4,r,1,0.3697332309966441,None,4,1,17,0,19.959338406995812,,,,,19.95098546499503,19.959338406995812,20.45040304899885,20.45040304899885,20.45040304899885,20.826344297995092,r,1,0.3697332309966441,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,18,2,4,r,1,0.7067059010005323,None,4,2,18,2,20.836757851000584,,,,,20.8287040590003,20.836757851000584,21.317364948998147,21.317364948998147,21.317364948998147,22.02655915599462,r,1,0.7067059010005323,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,19,3,4,b,1,0.47248574499826645,None,4,3,19,3,22.035196756994992,,,,,22.027112259995192,22.035196756994992,22.524463681998895,22.524463681998895,22.524463681998895,23.000144737001392,b,1,0.47248574499826645,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,20,0,5,b,1,0.4587005229986971,None,5,0,20,3,23.009405211996636,,,,,23.00075586100138,23.009405211996636,23.50030534999678,23.50030534999678,23.50030534999678,23.966737939001177,b,1,0.4587005229986971,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,21,1,5,r,1,0.32468873700418044,None,5,1,21,2,23.975783324996883,,,,,23.96730156600097,23.975783324996883,24.467206045999774,24.467206045999774,24.467206045999774,24.793340887998056,r,1,0.32468873700418044,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,22,2,5,b,1,0.5096616959999665,None,5,2,22,1,24.804615676999674,,,,,24.795748708995234,24.804615676999674,25.292220616000122,25.292220616000122,25.292220616000122,25.809590026998194,b,1,0.5096616959999665,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,23,3,5,r,1,0.5951549199962756,None,5,3,23,0,25.81818720499723,,,,,25.810141135996673,25.81818720499723,26.308755498997925,26.308755498997925,26.308755498997925,26.9095372390002,r,1,0.5951549199962756,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,blue,C,b,24,0,6,b,1,0.4697439269948518,None,6,0,24,3,26.91992696899979,,,,,26.91189186799602,26.91992696899979,27.40096627499588,27.40096627499588,27.40096627499588,27.87666353199893,b,1,0.4697439269948518,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,red,C,r,25,1,6,r,1,0.35271237199776806,None,6,1,25,0,27.8883213299996,,,,,27.87931843399565,27.8883213299996,28.367958874994656,28.367958874994656,28.367958874994656,28.726525093996315,r,1,0.35271237199776806,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
BLUE,red,I,r,26,2,6,b,0,0.6049754490013584,None,6,2,26,2,28.737816599001235,,,,,28.728873164996912,28.737816599001235,29.21767292599543,29.21767292599543,29.21767292599543,29.826616829996055,b,0,0.6049754490013584,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
RED,blue,I,b,27,3,6,b,1,1.2047635239941883,None,6,3,27,1,29.837122270997497,,,,,29.828902242996264,29.837122270997497,30.31789868699707,30.31789868699707,30.31789868699707,31.526500848995056,b,1,1.2047635239941883,None,,,,,02,001,2025-08-26_09h34.59.925,stroop,,2025.1.1,89.5189134500682,2025-08-26 09h35.11.304001 +0530,
