prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007271458001923747,0.014603708004869986,0.014603708004869986,8.859858666000946,space,8.698541000005207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,8.859880916003021,8.867596875003073,9.391770375004853,9.352243708002788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
car,windoww,unrelated,nonword,z,0,0,0,z,1,4.970637082995381,None,0,0,0,81,9.391770375004853,,,,,,,,,,,,,9.38558437499887,9.391770375004853,9.51203733299917,9.512113707998651,9.519110166002065,9.562031207999098,9.56576933299948,9.572361833001196,9.572361833001196,11.068898999998055,14.547410833001777,z,1,4.970637082995381,None,z,True,,,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
sun,glass,unrelated,word,m,1,1,0,m,1,2.493843584001297,None,0,1,1,27,14.558183000001009,,,,,,,,,,,,,14.547776790997887,14.558183000001009,14.69509087500046,14.695153375003429,14.701636165998934,14.736005999999179,14.739535166001588,14.762087415998394,14.762087415998394,16.252203249998274,17.26465270799963,m,1,2.493843584001297,None,m,True,14.701636165998934,14.762087415998394,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
ball,gameu,related,nonword,z,2,2,0,z,1,1.2109574170026463,None,0,2,2,73,17.275064624998777,,,,,,,,,,,,,17.26506995800446,17.275064624998777,17.41322991600464,17.413297708000755,17.41980166600115,17.452786250003555,17.456907332998526,17.46393166600319,17.46393166600319,,18.680982875004702,z,1,1.2109574170026463,None,z,True,17.41980166600115,17.46393166600319,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
phone,forest,unrelated,word,m,3,3,0,m,1,0.9213490830006776,None,0,3,3,32,18.691807750001317,,,,,,,,,,,,,18.681489250004233,18.691807750001317,18.829129249999824,18.829212832999474,18.836019416005,18.86955341599969,18.87343162500474,18.880479250001372,18.880479250001372,,19.80453475000104,m,1,0.9213490830006776,None,m,True,18.836019416005,18.880479250001372,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
salt,pepper,related,word,m,4,4,0,m,1,2.236034125002334,None,0,4,4,22,19.814827250003873,,,,,,,,,,,,,19.804968541000562,19.814827250003873,19.952382499999658,19.952437874999305,19.962128416002088,19.99590708300093,20.00019762499869,20.006828500001575,20.006828500001575,21.50147512499825,22.248002375003125,m,1,2.236034125002334,None,m,True,19.962128416002088,20.006828500001575,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
teacher,banana,unrelated,word,m,5,5,0,z,0,1.0976175839969073,None,0,5,5,29,22.266020415998355,,,,,,,,,,,,,22.248456749999605,22.266020415998355,22.402187040999706,22.402247375001025,22.412483874999452,22.446331500002998,22.4505827910034,22.4571777500023,22.4571777500023,,23.564068457999383,z,0,1.0976175839969073,None,z,False,,22.4571777500023,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
tree,speaker,unrelated,word,m,6,6,0,m,1,1.660295458001201,None,0,6,6,45,23.57405641600053,,,,,,,,,,,,,23.564445374999195,23.57405641600053,23.712298791004287,23.71236595800292,23.718511833001685,23.75268683300237,23.75651641600416,23.778424041003746,23.778424041003746,25.268393500002276,25.447703416000877,m,1,1.660295458001201,None,m,True,23.718511833001685,23.778424041003746,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
rain,cloudx,related,nonword,z,7,7,0,z,1,0.6963436250007362,None,0,7,7,67,25.458120333001716,,,,,,,,,,,,,25.448163083005056,25.458120333001716,25.5961982910012,25.596282250000513,25.602879958001722,25.63612266600103,25.64056537500437,25.647329915998853,25.647329915998853,,26.347390832997917,z,1,0.6963436250007362,None,z,True,25.602879958001722,25.647329915998853,,,,,,,,,,,,07,001,2025-11-18_10h38.32.868,solo project,,2025.1.1,120.40625020722361,2025-11-18 10h38.38.386309 +0530,
