prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap1.stopped,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
tree,speaker,unrelated,word,m,41,41,0,m,1,0.7833679590039537,None,0,41,41,45,51.24129299999913,,,,,,,,,,,,,51.231343916995684,51.24129299999913,51.37842808300047,51.37851737500023,51.385171957997954,51.42893095799809,51.418979499998386,51.42334391699842,51.42893095799809,51.42893095799809,,52.22061795799527,m,1,0.7833679590039537,None,m,True,51.385171957997954,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
teacher,studenth,related,nonword,z,42,42,0,z,1,0.47468749999825377,None,0,42,42,54,52.23150787499617,,,,,,,,,,,,,52.22101441700215,52.23150787499617,52.36869524999929,52.36875333300122,52.37883491699904,52.42458933300077,52.41271262499504,52.41789166699891,52.42458933300077,52.42458933300077,,52.903666582998994,z,1,0.47468749999825377,None,z,True,52.37883491699904,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
river,water,related,word,m,43,43,0,m,1,0.6465666250005597,None,0,43,43,9,52.91440170799615,,,,,,,,,,,,,52.90411895800207,52.91440170799615,53.05285304199788,53.05289512500167,53.06164558299497,53.106670332999784,53.09589220799535,53.099740833000396,53.106670332999784,53.106670332999784,,53.76469691700186,m,1,0.6465666250005597,None,m,True,53.06164558299497,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
king,markerv,unrelated,nonword,z,44,44,0,z,1,0.4865288330038311,None,0,44,44,88,53.77494537500024,,,,,,,,,,,,,53.765107624996745,53.77494537500024,53.91169458299555,53.91175937499793,53.91808508300164,53.962687999999616,53.952057624999725,53.9556837919954,53.962687999999616,53.962687999999616,,54.45422816700011,z,1,0.4865288330038311,None,z,True,53.91808508300164,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
cup,teaf,related,nonword,z,45,45,0,z,1,0.9277248750004219,None,0,45,45,65,54.46443366699532,,,,,,,,,,,,,54.45466750000196,54.46443366699532,54.601472707996436,54.601530791995174,54.612239499998395,54.656116124999244,54.645706292001705,54.64953579199937,54.656116124999244,54.656116124999244,,55.587609582995356,z,1,0.9277248750004219,None,z,True,54.612239499998395,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
heart,beat,related,word,m,46,46,0,m,1,0.7136950829954003,None,0,46,46,11,55.597725082996476,,,,,,,,,,,,,55.58797320799931,55.597725082996476,55.735455624999304,55.7355074579973,55.745179124998685,55.7894848750002,55.779186374995334,55.782705124998756,55.7894848750002,55.7894848750002,,56.51431537499593,m,1,0.7136950829954003,None,m,True,55.745179124998685,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
doctor,tabler,unrelated,nonword,z,47,47,0,m,0,0.5485382500046398,None,0,47,47,75,56.52465775000019,,,,,,,,,,,,,56.51484949999576,56.52465775000019,56.662526457999775,56.662604291996104,56.66910004199599,56.71271283299575,56.70207700000174,56.70566733300075,56.71271283299575,56.71271283299575,,57.26437670800078,m,0,0.5485382500046398,None,m,False,56.66910004199599,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
car,window,unrelated,word,m,48,48,0,m,1,0.554034666994994,None,0,48,48,31,57.27499374999752,,,,,,,,,,,,,57.264883292002196,57.27499374999752,57.412031332998595,57.41207554200082,57.41816233300051,57.465121458000795,57.453488708000805,57.45750079199934,57.465121458000795,57.465121458000795,,58.02132249999704,m,1,0.554034666994994,None,m,True,57.41816233300051,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
king,queen,related,word,m,49,49,0,m,1,0.7063929170035408,None,0,49,49,13,58.03176974999951,,,,,,,,,,,,,58.02180133300135,58.03176974999951,58.16951533300016,58.16956745799689,58.17819866699574,58.222779374998936,58.21231720799551,58.21607745799702,58.222779374998936,58.222779374998936,,58.937121707996994,m,1,0.7063929170035408,None,m,True,58.17819866699574,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
music,plate,unrelated,word,m,50,50,0,m,1,0.6505080830029328,None,0,50,50,37,58.947915042001114,,,,,,,,,,,,,58.93751937500201,58.947915042001114,59.085981999996875,59.08603379200213,59.09517658299592,59.13962837500003,59.12916895799572,59.132978041998285,59.13962837500003,59.13962837500003,,59.79719733299862,m,1,0.6505080830029328,None,m,True,59.09517658299592,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
phone,forest,unrelated,word,m,51,51,0,z,0,0.7649337920011021,None,0,51,51,32,59.80744091700035,,,,,,,,,,,,,59.79757654199784,59.80744091700035,59.945047041997896,59.94511791699915,59.951544666997506,59.99708741699578,59.986260917001346,59.98989287499717,59.99708741699578,59.99708741699578,,60.76455395799712,z,0,0.7649337920011021,None,z,False,59.951544666997506,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
tree,speakert,unrelated,nonword,z,52,52,0,z,1,1.123948583001038,None,0,52,52,95,60.77503583300131,,,,,,,,,,,,,60.76501958299923,60.77503583300131,60.91227908300061,60.91235912499542,60.919107624999015,60.978073291997134,60.952097542001866,60.95578854199994,60.978073291997134,60.978073291997134,,62.10458291699615,z,1,1.123948583001038,None,z,True,60.919107624999015,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
bread,butter,related,word,m,53,53,0,m,1,0.6078157079973607,None,0,53,53,3,62.11511491699639,,,,,,,,,,,,,62.10496174999571,62.11511491699639,62.255432582998765,62.255489499999385,62.26225508299831,62.306258208001964,62.29591929199523,62.29965979199915,62.306258208001964,62.306258208001964,,62.92048808300024,m,1,0.6078157079973607,None,m,True,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
