pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.369138711,None,,,,,0,0,0,0,,,,,0.041355551,,0.021659972,0.041355551,0.99453614,0.99453614,0.99453614,0.99453614,1.034323101,1.993948471,1.993948471,2.680486558,x,1,0.369138711,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,1,1,0,v,1,0.285651556,None,,,,,0,1,1,1,,,,,2.69738339,,2.680830062,2.69738339,3.677068852,3.677068852,3.677068852,3.677068852,3.69357013,4.676975101,4.676975101,4.968495175,v,1,0.285651556,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,2,2,0,c,1,0.216588103,None,,,,,0,2,2,2,,,,,4.976811502,,4.96882501,4.976811502,5.967353585,5.967353585,5.967353585,5.967353585,5.967353585,6.967084213,6.967084213,7.194511713,c,1,0.216588103,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,3,3,0,z,1,0.255964479,None,,,,,0,3,3,3,,,,,7.202622621,,7.194924912,7.202622621,8.184387671,8.184387671,8.184387671,8.184387671,8.199595065,9.193509262,9.193509262,9.45154101,z,1,0.255964479,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,4,0,1,x,1,0.285214121,None,,,,,1,0,4,0,,,,,9.46014163,,9.451867086,9.46014163,10.45117343,10.45117343,10.45117343,10.45117343,10.45117343,11.4511255,11.4511255,11.7445124,x,1,0.285214121,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,5,1,1,v,1,0.279779849,None,,,,,1,1,5,1,,,,,11.75235494,,11.74482757,11.75235494,12.73431982,12.73431982,12.73431982,12.73431982,12.75033176,13.73458878,13.73458878,14.01852693,v,1,0.279779849,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,6,2,1,c,1,0.436739778,None,,,,,1,2,6,2,,,,,14.02685531,,14.01884648,14.02685531,15.01741584,15.01741584,15.01741584,15.01741584,15.01741584,16.01745273,16.01745273,16.46121537,c,1,0.436739778,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,7,3,1,z,1,0.292370906,None,,,,,1,3,7,3,,,,,16.46908035,,16.46153302,16.46908035,17.46032824,17.46032824,17.46032824,17.46032824,17.46714252,18.45075859,18.45075859,18.74473394,z,1,0.292370906,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,8,0,2,x,1,0.301149003,None,,,,,2,0,8,0,,,,,18.75063535,,18.74506249,18.75063535,19.74363148,19.74363148,19.74363148,19.74363148,19.75067047,20.74291166,20.74291166,21.05190287,x,1,0.301149003,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,9,1,2,v,1,0.427033725,None,,,,,2,1,9,1,,,,,21.06033413,,21.05225147,21.06033413,22.05011267,22.05011267,22.05011267,22.05011267,22.05011267,23.05076898,23.05076898,23.48520768,v,1,0.427033725,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,10,2,2,c,1,0.273839822,None,,,,,2,2,10,2,,,,,23.49368827,,23.48553422,23.49368827,24.48347771,24.48347771,24.48347771,24.48347771,24.48347771,25.48420417,25.48420417,25.76115358,c,1,0.273839822,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,11,3,2,z,1,0.298504868,None,,,,,2,3,11,3,,,,,25.7690874,,25.76147923,25.7690874,26.7510716,26.7510716,26.7510716,26.7510716,26.76679577,27.7601501,27.7601501,28.06115095,z,1,0.298504868,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,12,0,3,x,1,0.360581107,None,,,,,3,0,12,0,,,,,28.06904117,,28.06148013,28.06904117,29.06015394,29.06015394,29.06015394,29.06015394,29.06752673,30.06003879,30.06003879,30.42752146,x,1,0.360581107,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,13,1,3,v,1,0.262837161,None,,,,,3,1,13,1,,,,,30.43536819,,30.42784346,30.43536819,31.42678616,31.42678616,31.42678616,31.42678616,31.43382551,32.41772478,32.41772478,32.68516885,v,1,0.262837161,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,14,2,3,c,1,0.264361582,None,,,,,3,2,14,2,,,,,32.69365761,,32.68549621,32.69365761,33.68383178,33.68383178,33.68383178,33.68383178,33.68383178,34.6840189,34.6840189,34.95159835,c,1,0.264361582,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,15,3,3,z,1,0.394529928,None,,,,,3,3,15,3,,,,,34.9599553,,34.95192569,34.9599553,35.95057309,35.95057309,35.95057309,35.95057309,35.95057309,36.94271857,36.94271857,37.34426522,z,1,0.394529928,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,16,0,4,x,1,0.27328697,None,,,,,4,0,16,0,,,,,37.35217634,,37.3445837,37.35217634,38.33343854,38.33343854,38.33343854,38.33343854,38.35020258,39.33393538,39.33393538,39.61119823,x,1,0.27328697,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,17,1,4,v,1,0.271356177,None,,,,,4,1,17,1,,,,,39.61915805,,39.61152539,39.61915805,40.60997838,40.60997838,40.60997838,40.60997838,40.61708198,41.61001211,41.61001211,41.88474043,v,1,0.271356177,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,18,2,4,c,1,0.455219869,None,,,,,4,2,18,2,,,,,41.89307142,,41.88507821,41.89307142,42.88408355,42.88408355,42.88408355,42.88408355,42.88408355,43.87669393,43.87669393,44.33457819,c,1,0.455219869,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,19,3,4,z,1,0.220369421,None,,,,,4,3,19,3,,,,,44.34319178,,44.33491018,44.34319178,45.33317741,45.33317741,45.33317741,45.33317741,45.33317741,46.326517,46.326517,46.55154138,z,1,0.220369421,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,20,0,5,x,1,0.251859108,None,,,,,5,0,20,0,,,,,46.56003866,,46.55186174,46.56003866,47.54985664,47.54985664,47.54985664,47.54985664,47.54985664,48.55086995,48.55086995,48.81061467,x,1,0.251859108,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,21,1,5,v,1,0.82478643,None,,,,,5,1,21,1,,,,,48.81848389,,48.81093364,48.81848389,49.80047099,49.80047099,49.80047099,49.80047099,49.81651446,50.80090535,50.80090535,51.62748818,v,1,0.82478643,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,22,2,5,c,1,0.30728363,None,,,,,5,2,22,2,,,,,51.63339646,,51.62781013,51.63339646,52.61750892,52.61750892,52.61750892,52.61750892,52.62649687,53.61726015,53.61726015,53.92757187,c,1,0.30728363,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,23,3,5,z,1,0.210246113,None,,,,,5,3,23,3,,,,,53.93551627,,53.9278953,53.93551627,54.92649966,54.92649966,54.92649966,54.92649966,54.93322832,55.9262273,55.9262273,56.14374021,z,1,0.210246113,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,24,0,6,x,1,0.396661622,None,,,,,6,0,24,0,,,,,56.15197081,,56.1440615,56.15197081,57.1338487,57.1338487,57.1338487,57.1338487,57.14970941,58.13361613,58.13361613,58.53471505,x,1,0.396661622,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,25,1,6,v,1,0.267743033,None,,,,,6,1,25,1,,,,,58.54305016,,58.53503912,58.54305016,59.53324297,59.53324297,59.53324297,59.53324297,59.53324297,60.53346658,60.53346658,60.81034742,v,1,0.267743033,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,26,2,6,c,1,0.099556411,None,,,,,6,2,26,2,,,,,60.81817898,,60.81066392,60.81817898,61.80051746,61.80051746,61.80051746,61.80051746,61.80977495,62.80058299,62.80058299,62.91029488,c,1,0.099556411,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,27,3,6,z,1,0.253855019,None,,,,,6,3,27,3,,,,,62.91822934,,62.91061492,62.91822934,63.90107366,63.90107366,63.90107366,63.90107366,63.90889844,64.90016332,64.90016332,65.1603776,z,1,0.253855019,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,28,0,7,x,1,0.282150682,None,,,,,7,0,28,0,,,,,65.16826419,,65.16069476,65.16826419,66.15007438,66.15007438,66.15007438,66.15007438,66.16641653,67.15078926,67.15078926,67.43468729,x,1,0.282150682,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,29,1,7,v,1,0.288916936,None,,,,,7,1,29,1,,,,,67.44265076,,67.43502192,67.44265076,68.43350063,68.43350063,68.43350063,68.43350063,68.43350063,69.43383467,69.43383467,69.72735138,v,1,0.288916936,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,30,2,7,c,1,0.351502321,None,,,,,7,2,30,2,,,,,69.7351616,,69.72767316,69.7351616,70.72617258,70.72617258,70.72617258,70.72617258,70.73283056,71.72617866,71.72617866,72.08455032,c,1,0.351502321,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,31,3,7,z,1,0.271857698,None,,,,,7,3,31,3,,,,,72.09289649,,72.08488001,72.09289649,73.08341807,73.08341807,73.08341807,73.08341807,73.08341807,74.08377556,74.08377556,74.36199521,z,1,0.271857698,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-50,x,32,0,8,x,1,0.268160444,None,,,,,8,0,32,0,,,,,74.37247168,,74.36240076,74.37247168,75.35937305,75.35937305,75.35937305,75.35937305,75.3665482,76.3593504,76.3593504,76.63460961,x,1,0.268160444,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
150,v,33,1,8,v,1,0.276407978,None,,,,,8,1,33,1,,,,,76.6428338,,76.6349536,76.6428338,77.63323286,77.63323286,77.63323286,77.63323286,77.63323286,78.63305835,78.63305835,78.91738457,v,1,0.276407978,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
50,c,34,2,8,c,1,0.276780598,None,,,,,8,2,34,2,,,,,78.92600991,,78.91774142,78.92600991,79.91674454,79.91674454,79.91674454,79.91674454,79.91674454,80.91655456,80.91655456,81.20088899,c,1,0.276780598,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
-150,z,35,3,8,z,1,0.266596456,None,,,,,8,3,35,3,,,,,81.20921894,,81.20124379,81.20921894,82.19952569,82.19952569,82.19952569,82.19952569,82.19952569,83.19962521,83.19962521,83.46774134,z,1,0.266596456,None,,,,,,,,,,,,,,,5,1,2025-10-02_18h00.45.680,Motor Sequence Learning,,2025.1.1,89.10441622,2025-10-02 18h00.56.765510 +0530
