thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4855555555555556)],[np.float64(-0.09333333333333334)],[1],[0],[0],[8.076532816980034],['target'],0,0,0,0,0.11168127198470756,,5,0.07159435603534803,0.11168127198470756,0.11168127198470756,0.07162204699125141,8.148205713019706,[np.float64(-0.4855555555555556)],[np.float64(-0.09333333333333334)],[1],[0],[0],[8.076532816980034],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
1,0,1,[np.float64(-0.45666666666666667)],[np.float64(-0.09555555555555556)],[1],[0],[0],[0.962380321987439],['target'],1,0,1,0,8.25145107699791,,10,8.231565974012483,8.25145107699791,8.25145107699791,0.08318392798537388,9.194054003979545,[np.float64(-0.45666666666666667)],[np.float64(-0.09555555555555556)],[1],[0],[0],[0.962380321987439],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
2,0,2,[np.float64(-0.22111111111111112)],[np.float64(-0.06888888888888889)],[1],[0],[0],[1.0897325749974698],['target'],2,0,2,0,9.252195962006226,,5,9.236347114027012,9.252195962006226,9.252195962006226,0.04206548602087423,10.326184706005733,[np.float64(-0.22111111111111112)],[np.float64(-0.06888888888888889)],[1],[0],[0],[1.0897325749974698],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
3,0,3,[np.float64(-0.43777777777777777)],[np.float64(-0.4766666666666667)],[1],[0],[0],[1.6564177050022408],['target'],3,0,3,0,10.382021908008028,,5,10.368276947003324,10.382021908008028,10.382021908008028,0.041911520005669445,12.024777606013231,[np.float64(-0.43777777777777777)],[np.float64(-0.4766666666666667)],[1],[0],[0],[1.6564177050022408],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
4,0,4,[np.float64(0.16444444444444445)],[np.float64(0.07888888888888888)],[1],[0],[0],[1.311135125986766],['target'],4,0,4,0,12.082152805989608,,5,12.066751957987435,12.082152805989608,12.082152805989608,0.0418375909794122,13.378006163984537,[np.float64(0.16444444444444445)],[np.float64(0.07888888888888888)],[1],[0],[0],[1.311135125986766],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
5,0,5,[np.float64(0.4255555555555556)],[np.float64(-0.13111111111111112)],[1],[0],[0],[1.5205624350346625],['target'],5,0,5,0,13.480111388023943,,10,13.459902547008824,13.480111388023943,13.480111388023943,0.08174269105074927,14.980598409019876,[np.float64(0.4255555555555556)],[np.float64(-0.13111111111111112)],[1],[0],[0],[1.5205624350346625],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
6,0,6,[np.float64(-0.4688888888888889)],[np.float64(-0.0077777777777777776)],[1],[0],[0],[1.6286508810007945],['target'],6,0,6,0,15.082649408024736,,10,15.062224491033703,15.082649408024736,15.082649408024736,0.08138499403139576,16.691010601993185,[np.float64(-0.4688888888888889)],[np.float64(-0.0077777777777777776)],[1],[0],[0],[1.6286508810007945],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
7,0,7,[np.float64(0.39111111111111113)],[np.float64(0.29777777777777775)],[1],[0],[0],[1.341849024000112],['target'],7,0,7,0,16.749036025023088,,5,16.734940676018596,16.749036025023088,16.749036025023088,0.04364698502467945,18.076963043014985,[np.float64(0.39111111111111113)],[np.float64(0.29777777777777775)],[1],[0],[0],[1.341849024000112],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
8,0,8,[np.float64(0.22)],[np.float64(0.4855555555555556)],[1],[0],[0],[1.4093982410267927],['target'],8,0,8,0,18.133548767014872,,5,18.1190703100292,18.133548767014872,18.133548767014872,0.041903080011252314,19.528628158033825,[np.float64(0.22)],[np.float64(0.4855555555555556)],[1],[0],[0],[1.4093982410267927],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
9,0,9,[np.float64(-0.38666666666666666)],[np.float64(0.21222222222222223)],[1],[0],[0],[1.3138091119471937],['target'],9,0,9,0,19.585393620014656,,5,19.570544711023103,19.585393620014656,19.585393620014656,0.041524611006025225,20.884580172016285,[np.float64(-0.38666666666666666)],[np.float64(0.21222222222222223)],[1],[0],[0],[1.3138091119471937],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
10,0,10,[np.float64(0.19)],[np.float64(0.13333333333333333)],[1],[0],[0],[1.1899521999876015],['target'],10,0,10,0,20.943216271989513,,5,20.927699672989547,20.943216271989513,20.943216271989513,0.042795882967766374,22.117760469031055,[np.float64(0.19)],[np.float64(0.13333333333333333)],[1],[0],[0],[1.1899521999876015],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
11,0,11,[np.float64(-0.2866666666666667)],[np.float64(-0.25666666666666665)],[1],[0],[0],[1.6662291359971277],['target'],11,0,11,0,22.17524777702056,,5,22.16055268899072,22.17524777702056,22.17524777702056,0.04261241899803281,23.826869558019098,[np.float64(-0.2866666666666667)],[np.float64(-0.25666666666666665)],[1],[0],[0],[1.6662291359971277],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
12,0,12,[np.float64(0.16777777777777778)],[np.float64(-0.47333333333333333)],[1],[0],[0],[1.9177928430144675],['target'],12,0,12,0,23.929281794000417,,10,23.909094761009328,23.929281794000417,23.929281794000417,0.0820731790154241,25.826997235999443,[np.float64(0.16777777777777778)],[np.float64(-0.47333333333333333)],[1],[0],[0],[1.9177928430144675],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
13,0,13,[np.float64(0.32)],[np.float64(-0.03666666666666667)],[1],[0],[0],[1.5128537240088917],['target'],13,0,13,0,25.930525420990307,,10,25.91002875403501,25.930525420990307,25.930525420990307,0.08280578698031604,27.423015634994954,[np.float64(0.32)],[np.float64(-0.03666666666666667)],[1],[0],[0],[1.5128537240088917],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
14,0,14,[np.float64(-0.15333333333333332)],[np.float64(0.37777777777777777)],[1],[0],[0],[1.7102497880114242],['target'],14,0,14,0,27.481724295997992,,5,27.466048319009133,27.481724295997992,27.481724295997992,0.04275147704174742,29.176395511021838,[np.float64(-0.15333333333333332)],[np.float64(0.37777777777777777)],[1],[0],[0],[1.7102497880114242],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
15,0,15,[np.float64(-0.30444444444444446)],[np.float64(0.3233333333333333)],[1],[0],[0],[1.1358921619830653],['target'],15,0,15,0,29.278503259003628,,10,29.25833564903587,29.278503259003628,29.278503259003628,0.0817928509786725,30.394337693986017,[np.float64(-0.30444444444444446)],[np.float64(0.3233333333333333)],[1],[0],[0],[1.1358921619830653],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
16,0,16,[np.float64(-0.3888888888888889)],[np.float64(-0.08888888888888889)],[1],[0],[0],[1.3735939390026033],['target'],16,0,16,0,30.499043932009954,,10,30.4778496529907,30.499043932009954,30.499043932009954,0.08328472299035639,31.851559898001142,[np.float64(-0.3888888888888889)],[np.float64(-0.08888888888888889)],[1],[0],[0],[1.3735939390026033],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
17,0,17,[np.float64(-0.11888888888888889)],[np.float64(-0.38222222222222224)],[1],[0],[0],[1.488921976997517],['target'],17,0,17,0,31.909822312009055,,5,31.894117037998512,31.909822312009055,31.909822312009055,0.04233032796764746,33.383175058988854,[np.float64(-0.11888888888888889)],[np.float64(-0.38222222222222224)],[1],[0],[0],[1.488921976997517],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
18,0,18,[np.float64(0.26555555555555554)],[np.float64(-0.023333333333333334)],[1],[0],[0],[1.3260484050260857],['target'],18,0,18,0,33.488171222037636,,10,33.46753303799778,33.488171222037636,33.488171222037636,0.08412690297700465,34.793673303036485,[np.float64(0.26555555555555554)],[np.float64(-0.023333333333333334)],[1],[0],[0],[1.3260484050260857],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
19,0,19,[np.float64(-0.24888888888888888)],[np.float64(0.01888888888888889)],[1],[0],[0],[1.2575741420150734],['target'],19,0,19,0,34.850491205987055,,5,34.83565579500282,34.850491205987055,34.850491205987055,0.04180222499417141,36.093365043983795,[np.float64(-0.24888888888888888)],[np.float64(0.01888888888888889)],[1],[0],[0],[1.2575741420150734],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
20,0,20,[np.float64(0.02666666666666667)],[np.float64(-0.47444444444444445)],[1],[0],[0],[1.557383838982787],['target'],20,0,20,0,36.15059321798617,,5,36.1364307589829,36.15059321798617,36.15059321798617,0.04283131199190393,37.693920960999094,[np.float64(0.02666666666666667)],[np.float64(-0.47444444444444445)],[1],[0],[0],[1.557383838982787],['target'],02,001,2025-09-29_14h42.52.784,Visual Search,,2025.1.1,81.0851351146054,2025-09-29 14h43.08.396030 +0530,
