thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.2677777777777778)],[np.float64(-0.23222222222222222)],[1],[0],[0],[1.5885383909917437],['target'],0,0,0,0,0.10755219997372478,,5,0.07045139896217734,0.10755219997372478,0.10755219997372478,0.07047672901535407,1.6590826889732853,[np.float64(0.2677777777777778)],[np.float64(-0.23222222222222222)],[1],[0],[0],[1.5885383909917437],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
1,0,1,[np.float64(-0.2866666666666667)],[np.float64(0.27444444444444444)],[1],[0],[0],[1.4509486390161328],['target'],1,0,1,0,1.7150991309899837,,5,1.7007678139489144,1.7150991309899837,1.7150991309899837,0.0414730419870466,3.1518506329739466,[np.float64(-0.2866666666666667)],[np.float64(0.27444444444444444)],[1],[0],[0],[1.4509486390161328],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
2,0,2,[np.float64(0.17888888888888888)],[np.float64(0.31)],[1],[0],[0],[1.3944628110039048],['target'],2,0,2,0,3.2592892789980397,,10,3.23857596894959,3.2592892789980397,3.2592892789980397,0.08649136900203303,4.633177521987818,[np.float64(0.17888888888888888)],[np.float64(0.31)],[1],[0],[0],[1.3944628110039048],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
3,0,3,[np.float64(-0.016666666666666666)],[np.float64(0.15)],[1],[0],[0],[1.0366051550372504],['target'],3,0,3,0,4.693437588983215,,5,4.676372747984715,4.693437588983215,4.693437588983215,0.04290182900149375,5.713127660972532,[np.float64(-0.016666666666666666)],[np.float64(0.15)],[1],[0],[0],[1.0366051550372504],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
4,0,4,[np.float64(-0.18555555555555556)],[np.float64(0.21333333333333335)],[1],[0],[0],[0.9069432549877092],['target'],4,0,4,0,5.816546705958899,,10,5.7962428469909355,5.816546705958899,5.816546705958899,0.0829350589774549,6.703327758004889,[np.float64(-0.18555555555555556)],[np.float64(0.21333333333333335)],[1],[0],[0],[0.9069432549877092],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
5,0,5,[np.float64(0.39)],[np.float64(0.29444444444444445)],[1],[0],[0],[1.2075934379827231],['target'],5,0,5,0,6.8096006799605675,,10,6.78762968396768,6.8096006799605675,6.8096006799605675,0.08401219500228763,7.99533235799754,[np.float64(0.39)],[np.float64(0.29444444444444445)],[1],[0],[0],[1.2075934379827231],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
6,0,6,[np.float64(-0.3277777777777778)],[np.float64(0.38555555555555554)],[1],[0],[0],[1.4106439180322923],['target'],6,0,6,0,8.096424199000467,,10,8.077309667947702,8.096424199000467,8.096424199000467,0.0817571509978734,9.488090958970133,[np.float64(-0.3277777777777778)],[np.float64(0.38555555555555554)],[1],[0],[0],[1.4106439180322923],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
7,0,7,[np.float64(-0.4477777777777778)],[np.float64(0.25)],[1],[0],[0],[1.0542799920076504],['target'],7,0,7,0,9.546026764961425,,5,9.530976564972661,9.546026764961425,9.546026764961425,0.04260563798015937,10.585408259998076,[np.float64(-0.4477777777777778)],[np.float64(0.25)],[1],[0],[0],[1.0542799920076504],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
8,0,8,[np.float64(-0.20444444444444446)],[np.float64(-0.38)],[1],[0],[0],[1.304102009977214],['target'],8,0,8,0,10.644678652985021,,5,10.628959170950111,10.644678652985021,10.644678652985021,0.043194734025746584,11.93317020998802,[np.float64(-0.20444444444444446)],[np.float64(-0.38)],[1],[0],[0],[1.304102009977214],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
9,0,9,[np.float64(-0.29)],[np.float64(0.07333333333333333)],[1],[0],[0],[1.2357705759932287],['target'],9,0,9,0,12.03699160600081,,10,12.016778655000962,12.03699160600081,12.03699160600081,0.08342749701114371,13.252759970957413,[np.float64(-0.29)],[np.float64(0.07333333333333333)],[1],[0],[0],[1.2357705759932287],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
10,0,10,[np.float64(-0.04111111111111111)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.122447097033728],['target'],10,0,10,0,13.313320810964797,,5,13.297807097958867,13.313320810964797,13.313320810964797,0.04460808099247515,14.420411601953674,[np.float64(-0.04111111111111111)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.122447097033728],['target'],05,001,2025-09-29_15h04.16.457,Visual Search,,2025.1.1,92.73968545305074,2025-09-29 15h04.26.301007 +0530,
