thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.2388888888888889)],[np.float64(0.26666666666666666)],[1],[0],[0],[1.7713916109642014],['target'],0,0,0,0,0.1060728169977665,,5,0.06727085396414623,0.1060728169977665,0.1060728169977665,0.06730181904276833,1.8387632140074857,[np.float64(0.2388888888888889)],[np.float64(0.26666666666666666)],[1],[0],[0],[1.7713916109642014],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
1,0,1,[np.float64(0.14777777777777779)],[np.float64(-0.34444444444444444)],[1],[0],[0],[1.3710255099576898],['target'],1,0,1,0,1.8938989639864303,,5,1.8801921849953942,1.8938989639864303,1.8938989639864303,0.041207878035493195,3.2513252460048534,[np.float64(0.14777777777777779)],[np.float64(-0.34444444444444444)],[1],[0],[0],[1.3710255099576898],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
2,0,2,[np.float64(-0.10888888888888888)],[np.float64(0.08444444444444445)],[1],[0],[0],[1.172596190997865],['target'],2,0,2,0,3.3554906779900193,,10,3.3357632199767977,3.3554906779900193,3.3554906779900193,0.08425596699817106,4.508496575988829,[np.float64(-0.10888888888888888)],[np.float64(0.08444444444444445)],[1],[0],[0],[1.172596190997865],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
3,0,3,[np.float64(0.4855555555555556)],[np.float64(0.14555555555555555)],[1],[0],[0],[1.5507722069742158],['target'],3,0,3,0,4.613932556007057,,10,4.593002415960655,4.613932556007057,4.613932556007057,0.08422688400605693,6.143912103958428,[np.float64(0.4855555555555556)],[np.float64(0.14555555555555555)],[1],[0],[0],[1.5507722069742158],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
4,0,4,[np.float64(-0.41333333333333333)],[np.float64(0.37666666666666665)],[1],[0],[0],[1.1232771110371687],['target'],4,0,4,0,6.202093228988815,,5,6.186999217956327,6.202093228988815,6.202093228988815,0.04278914397582412,7.310417247994337,[np.float64(-0.41333333333333333)],[np.float64(0.37666666666666665)],[1],[0],[0],[1.1232771110371687],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
5,0,5,[np.float64(0.46111111111111114)],[np.float64(-0.3511111111111111)],[1],[0],[0],[1.5310725849703886],['target'],5,0,5,0,7.368510951986536,,5,7.353810865955893,7.368510951986536,7.368510951986536,0.04314853099640459,8.884988970006816,[np.float64(0.46111111111111114)],[np.float64(-0.3511111111111111)],[1],[0],[0],[1.5310725849703886],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
6,0,6,[np.float64(0.3688888888888889)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.699732814973686],['target'],6,0,6,0,8.940986142959446,,5,8.926846286980435,8.940986142959446,8.940986142959446,0.04167672200128436,10.626770615985151,[np.float64(0.3688888888888889)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.699732814973686],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
7,0,7,[np.float64(-0.49666666666666665)],[np.float64(0.1322222222222222)],[1],[0],[0],[1.9407667510095052],['target'],7,0,7,0,10.730882828996982,,10,10.710941558005288,10.730882828996982,10.730882828996982,0.08384501800173894,12.651819052989595,[np.float64(-0.49666666666666665)],[np.float64(0.1322222222222222)],[1],[0],[0],[1.9407667510095052],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
8,0,8,[np.float64(-0.13)],[np.float64(-0.33555555555555555)],[1],[0],[0],[1.4742081650183536],['target'],8,0,8,0,12.708882570965216,,5,12.694035273976624,12.708882570965216,12.708882570965216,0.041996301035396755,14.1683479679632,[np.float64(-0.13)],[np.float64(-0.33555555555555555)],[1],[0],[0],[1.4742081650183536],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
9,0,9,[np.float64(0.35555555555555557)],[np.float64(-0.051111111111111114)],[1],[0],[0],[1.5008927509770729],['target'],9,0,9,0,14.271751091990154,,10,14.251474823977333,14.271751091990154,14.271751091990154,0.0829488500021398,15.752457782975398,[np.float64(0.35555555555555557)],[np.float64(-0.051111111111111114)],[1],[0],[0],[1.5008927509770729],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
10,0,10,[np.float64(0.45555555555555555)],[np.float64(0.48444444444444446)],[1],[0],[0],[1.7726979959988967],['target'],10,0,10,0,15.80902031000005,,5,15.794339123007376,15.80902031000005,15.80902031000005,0.04169941699365154,17.567161668965127,[np.float64(0.45555555555555555)],[np.float64(0.48444444444444446)],[1],[0],[0],[1.7726979959988967],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
11,0,11,[np.float64(-0.4955555555555556)],[np.float64(-0.3188888888888889)],[1],[0],[0],[1.3470451529719867],['target'],11,0,11,0,17.62342381500639,,5,17.608863144996576,17.62342381500639,17.62342381500639,0.04141893400810659,18.956016812007874,[np.float64(-0.4955555555555556)],[np.float64(-0.3188888888888889)],[1],[0],[0],[1.3470451529719867],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
12,0,12,[np.float64(0.22333333333333333)],[np.float64(-0.12444444444444444)],[1],[0],[0],[1.6704724210430868],['target'],12,0,12,0,19.012096463004127,,5,18.9978371069883,19.012096463004127,19.012096463004127,0.0416353729669936,20.668445512012113,[np.float64(0.22333333333333333)],[np.float64(-0.12444444444444444)],[1],[0],[0],[1.6704724210430868],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
13,0,13,[np.float64(-0.44555555555555554)],[np.float64(-0.11666666666666667)],[1],[0],[0],[1.5494613019982353],['target'],13,0,13,0,20.7719193729572,,10,20.752358591009397,20.7719193729572,20.7719193729572,0.0836816470255144,22.30195096996613,[np.float64(-0.44555555555555554)],[np.float64(-0.11666666666666667)],[1],[0],[0],[1.5494613019982353],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
14,0,14,[np.float64(-0.34444444444444444)],[np.float64(-0.4111111111111111)],[1],[0],[0],[1.4312388219987042],['target'],14,0,14,0,22.363007109961472,,5,22.34545495599741,22.363007109961472,22.363007109961472,0.04324592795455828,23.776826605957467,[np.float64(-0.34444444444444444)],[np.float64(-0.4111111111111111)],[1],[0],[0],[1.4312388219987042],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
15,0,15,[np.float64(0.20222222222222222)],[np.float64(-0.042222222222222223)],[1],[0],[0],[13.480578716960736],['target'],15,0,15,0,23.835269605973735,,5,23.820464272983372,23.835269605973735,23.835269605973735,0.04323023103643209,37.30114762496669,[np.float64(0.20222222222222222)],[np.float64(-0.042222222222222223)],[1],[0],[0],[13.480578716960736],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
16,0,16,[np.float64(-0.035555555555555556)],[np.float64(-0.4622222222222222)],[1],[0],[0],[1.6672987840138376],['target'],16,0,16,0,37.403603768965695,,10,37.383675871999,37.403603768965695,37.403603768965695,0.08233382395701483,39.051108235958964,[np.float64(-0.035555555555555556)],[np.float64(-0.4622222222222222)],[1],[0],[0],[1.6672987840138376],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
17,0,17,[np.float64(0.4533333333333333)],[np.float64(0.3566666666666667)],[1],[0],[0],[1.3153855599812232],['target'],17,0,17,0,39.11184337595478,,5,39.09499552700436,39.11184337595478,39.11184337595478,0.0436124189873226,40.41053428896703,[np.float64(0.4533333333333333)],[np.float64(0.3566666666666667)],[1],[0],[0],[1.3153855599812232],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
18,0,18,[np.float64(0.39666666666666667)],[np.float64(0.43666666666666665)],[1],[0],[0],[34.15214281604858],['target'],18,0,18,0,40.46804121695459,,5,40.45337283599656,40.46804121695459,40.46804121695459,0.04260885599069297,74.60562265198678,[np.float64(0.39666666666666667)],[np.float64(0.43666666666666665)],[1],[0],[0],[34.15214281604858],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
19,0,19,[np.float64(-0.27666666666666667)],[np.float64(0.39111111111111113)],[1],[0],[0],[10.081369441992138],['target'],19,0,19,0,74.70859339897288,,10,74.68825027201092,74.70859339897288,74.70859339897288,0.08243474498158321,84.76972881099209,[np.float64(-0.27666666666666667)],[np.float64(0.39111111111111113)],[1],[0],[0],[10.081369441992138],['target'],04,001,2025-09-29_14h56.49.394,Visual Search,,2025.1.1,77.75688735538908,2025-09-29 14h57.00.760812 +0530,
