mouse.time,num_distr,,,mouse.time,num_distr
1.619657713,5,,,2.701733921,10
1.525894021,5,,,3.273393834,10
1.35646183,5,,,1.382268242,10
3.131660827,5,,,1.565064472,10
2.329708876,5,,,2.283168734,10
1.606257119,5,,,1.486843821,10
1.604131709,5,,,3.357199643,10
3.120709376,5,,,1.741963237,10
3.005300258,5,,,1.266281522,10
2.201399899,5,,,1.407509862,10
2.183480448,5,,,2.130505952,10
1.586886899,5,,,1.494614138,10
1.442283426,5,,,1.404281519,10
1.887612947,5,,,2.039965359,10
1.372781887,5,,,1.562217299,10
1.090842272,5,,,1.665117426,10
2.233043786,5,,,2.081167671,10
2.05765939,5,,,1.879619344,10
2.02983448,5,,,1.57297231,10
1.558608078,5,,,1.801601919,10
1.749793069,5,,,1.066872729,10
1.814118782,5,,,1.280509937,10
2.143566957,5,,,2.453403038,10
0.965109057,5,,,1.246538069,10
1.070010662,5,,,1.064828778,10
1.154127137,5,,,1.174320148,10
1.569390755,5,,,1.709178629,10
2.22914651,5,,,1.119586363,10
1.047702539,5,,,1.146506599,10
3.179974715,5,,,1.476779643,10
2.50266133,5,,,1.099329468,10
1.583477951,5,,,2.060318965,10
1.347212475,5,,,1.863387506,10
2.340848764,5,,,1.132798835,10
2.396472311,5,,,1.72538616,10
1.889439945,5,,,2.262702938,10
2.116969387,5,,,1.303701898,10
1.720789416,5,,,2.073060835,10
1.929816155,5,,,2.597723488,10
1.059440769,5,,,1.197376924,10
0.955826598,5,,,1.17644518,10
1.266517664,5,,,2.605736983,10
1.861120896,5,,,1.340556257,10
1.724385469,5,,,1.281082186,10
1.181889718,5,,,1.20667333,10
1.522249186,5,,,1.565621128,10
1.667353422,5,,,2.281399355,10
1.614552385,5,,,2.462170829,10
1.674035836,5,,,2.308031143,10
1.582607252,5,,,1.486114686,10
1.910433113,5,,,1.556909214,10
1.893301096,5,,,2.720593443,10
2.291941822,5,,,1.501992878,10
1.62447516,5,,,1.780353615,10
1.44833421,5,,,2.848502546,10
1.627441742,5,,,1.230959143,10
0.879182582,5,,,1.345655065,10
1.449187677,5,,,2.20017667,10
1.125848186,5,,,1.270376488,10
1.506207458,5,,,1.378652418,10
1.653526396,5,,,1.595136333,10
1.833723772,5,,,1.529502473,10
0.871032227,5,,,1.098675668,10
1.669084226,5,,,1.103318069,10
1.15157518,5,,,1.364494136,10
1.724122031,5,,,1.732223805,10
1.114633026,5,,,1.579496455,10
1.317986783,5,,,1.47030303,10
1.271469902,5,,,2.247147904,10
1.969635037,5,,,2.279227325,10
2.914265065,5,,,1.920615941,10
1.501650491,5,,,1.437126105,10
1.859709247,5,,,1.510904398,10
1.370970197,5,,,1.377385817,10
1.167634908,5,,,1.273092947,10
1.599548158,5,,,1.34747599,10
1.327968821,5,,,1.899233729,10
1.432065627,5,,,1.33580495,10
2.313278105,5,,,1.482990241,10
1.642125168,5,,,1.602698488,10
1.571955693,5,,,1.605583322,10
2.314206623,5,,,2.41565345,10
1.815481314,5,,,2.539722536,10
1.942606506,5,,,5.903533452,10
2.058214333,5,,,2.234392307,10
1.407917756,5,,,2.570320401,10
4.544829604,5,,,3.340769307,10
1.940174897,5,,,1.887767387,10
1.350383716,5,,,2.328914127,10
1.281260021,5,,,1.38223997,10
2.011758,5,,,3.130775609,10
1.631509491,5,,,2.904897501,10
1.493490234,5,,,1.479558044,10
1.43053458,5,,,1.40262917,10
1.541827323,5,,,1.29006362,10
1.480087908,5,,,1.762560725,10
1.06042978,5,,,1.240206504,10
1.222265069,5,,,1.386742256,10
1.475561066,5,,,1.817790795,10
,,,,2.499766101,10
,,,,2.212404818,10
,,,,,
1.725673472,mean: 5,,,1.814088603,mean: 10
,,,,,
slope formula,meant RT( set of 10s)- meanRT (set of 5s)/10-5,,,,
slope ,0.017683026,,,,
