prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007366207995801233,0.013277250000101048,0.013277250000101048,4.855845040998247,space,4.695800041001348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,4.8558679159978055,4.864003624999896,5.386645457998384,5.348259375001362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
flower,bottle,unrelated,word,m,0,0,0,m,1,3.316332207999949,None,0,0,0,49,5.386645457998384,,,,,,,,,,,,,5.3811799159957445,5.386645457998384,5.5073345829950995,5.507387124998786,5.512708750000456,5.5575559999997495,5.561585040995851,5.567348124997807,5.567348124997807,7.063960207997297,8.89263891599694,m,1,3.316332207999949,None,m,True,,,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
teacher,banana,unrelated,word,m,1,1,0,m,1,1.2957823329998064,None,0,1,1,29,8.901816540994332,,,,,,,,,,,,,8.893026499994448,8.901816540994332,9.04188270799932,9.041953207997722,9.04850649999571,9.081207249997533,9.084674749996339,9.0918953329965,9.0918953329965,,10.392996624999796,m,1,1.2957823329998064,None,m,True,9.04850649999571,9.0918953329965,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
king,marker,unrelated,word,m,2,2,0,m,1,0.7304212079980061,None,0,2,2,38,10.408489207999082,,,,,,,,,,,,,10.393494415999157,10.408489207999082,10.541787165995629,10.541832415998215,10.548020165995695,10.581472165999003,10.585721582996484,10.593261207999603,10.593261207999603,,11.326751957996748,m,1,0.7304212079980061,None,m,True,10.548020165995695,10.593261207999603,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
pen,paperz,related,nonword,z,3,3,0,z,1,0.8238339579984313,None,0,3,3,68,11.337260332998994,,,,,,,,,,,,,11.327254541000002,11.337260332998994,11.47536783299438,11.47545120799623,11.482126666000113,11.515121040996746,11.51876283299498,11.540704499995627,11.540704499995627,,12.366637207996973,z,1,0.8238339579984313,None,z,True,11.482126666000113,11.540704499995627,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
bird,wing,related,word,m,4,4,0,m,1,0.6921853750027367,None,0,4,4,10,12.377228833000117,,,,,,,,,,,,,12.367051332999836,12.377228833000117,12.515575416000502,12.515624708001269,12.524484665998898,12.558632290994865,12.562672415995621,12.569392958001117,12.569392958001117,,13.26710395799455,m,1,0.6921853750027367,None,m,True,12.524484665998898,12.569392958001117,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
river,waterr,related,nonword,z,5,5,0,z,1,1.036583499997505,None,0,5,5,59,13.27713212499657,,,,,,,,,,,,,13.267493040999398,13.27713212499657,13.415789207996568,13.415853624996089,13.424344708000717,13.458045291001326,13.46213995799917,13.468937958001334,13.468937958001334,,14.509852332994342,z,1,1.036583499997505,None,z,True,13.424344708000717,13.468937958001334,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
road,streetq,related,nonword,z,6,6,0,z,1,0.9734084579977207,None,0,6,6,69,14.518563290999737,,,,,,,,,,,,,14.510242666001432,14.518563290999737,14.660181250001187,14.66024591599853,14.667687415996625,14.708554832999653,14.712497374996019,14.71910241599835,14.71910241599835,,15.699382833001437,z,1,0.9734084579977207,None,z,True,14.667687415996625,14.71910241599835,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
shirt,cloth,related,word,m,7,7,0,m,1,0.6618954169971403,None,0,7,7,16,15.709786874998827,,,,,,,,,,,,,15.699667082997621,15.709786874998827,15.848037957999622,15.848095999994257,15.8578576660002,15.890632040995115,15.893956082996738,15.90057329100091,15.90057329100091,,16.5667344579997,m,1,0.6618954169971403,None,m,True,15.8578576660002,15.90057329100091,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
bird,cup,unrelated,word,m,8,8,0,m,1,0.7240230829993379,None,0,8,8,35,16.577239375001227,,,,,,,,,,,,,16.56727091599896,16.577239375001227,16.714108332998876,16.714156832997105,16.724693832999037,16.758505207995768,16.762242790995515,16.776463124995644,16.776463124995644,,17.510228374994767,m,1,0.7240230829993379,None,m,True,16.724693832999037,16.776463124995644,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
ball,gameu,related,nonword,z,9,9,0,z,1,0.6607203749954351,None,0,9,9,73,17.52053574999445,,,,,,,,,,,,,17.510594166000374,17.52053574999445,17.657764374998806,17.657804582995595,17.66395991599711,17.697922749997815,17.702747040995746,17.70974387499882,17.70974387499882,,18.376335875000223,z,1,0.6607203749954351,None,z,True,17.66395991599711,17.70974387499882,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
cat,dogt,related,nonword,z,10,10,0,z,1,0.7814135830049054,None,0,10,10,51,18.38711620799586,,,,,,,,,,,,,18.376849832995504,18.38711620799586,18.524714582999877,18.524790874995233,18.531360665998363,18.56422654099879,18.56798799999524,18.574997957999585,18.574997957999585,,19.359472500000265,z,1,0.7814135830049054,None,z,True,18.531360665998363,18.574997957999585,,,,,,,,,,,,05,001,2025-11-17_16h28.56.327,solo project,,2025.1.1,120.68227628709383,2025-11-17 16h29.03.432767 +0530,
