prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0049508340016473085,0.010498458999791183,0.010498458999791183,13.82107158400322,space,13.665318665996892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,13.821095125000284,13.828781666998111,14.35265208400233,14.313996750002843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
mother,childo,related,nonword,z,0,0,0,z,1,1.479047790999175,None,0,0,0,55,14.35265208400233,,,,,,,,,,,,,14.34662075000233,14.35265208400233,14.480631459002325,14.480742792002275,14.488841083999432,14.531028042001708,14.535130959004164,14.54272916699847,14.54272916699847,16.043323124999006,16.032757375003712,z,1,1.479047790999175,None,z,True,,,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
phone,forest,unrelated,word,m,1,1,0,m,1,1.026954207001836,None,0,1,1,32,16.043323124999006,,,,,,,,,,,,,16.033189709,16.043323124999006,16.18038495899964,16.180431708999095,16.186846417003835,16.220800417002465,16.224587124997925,16.246762208997097,16.246762208997097,,17.282775708998088,m,1,1.026954207001836,None,m,True,16.186846417003835,16.246762208997097,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
sun,glassp,unrelated,nonword,z,2,2,0,z,1,1.1420941249962198,None,0,2,2,77,17.292887750001682,,,,,,,,,,,,,17.28317616700224,17.292887750001682,17.43226779199904,17.432339125,17.44014333400264,17.480983959001605,17.485022209002636,17.49161591700249,17.49161591700249,,18.638932417001342,z,1,1.1420941249962198,None,z,True,17.44014333400264,17.49161591700249,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
road,candley,unrelated,nonword,z,3,3,0,z,1,1.2842702490015654,None,0,3,3,94,18.64957195900206,,,,,,,,,,,,,18.639390167001693,18.64957195900206,18.78800137500366,18.788048542002798,18.797139292000793,18.83099366699753,18.835733459003677,18.84237849999772,18.84237849999772,,20.131654666998656,z,1,1.2842702490015654,None,z,True,18.797139292000793,18.84237849999772,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
rain,cloud,related,word,m,4,4,0,m,1,0.7773199570001452,None,0,4,4,17,20.148040792002575,,,,,,,,,,,,,20.132046625003568,20.148040792002575,20.282532584002183,20.282590374998108,20.29008845899807,20.331035625000368,20.334740167003474,20.3413037920036,20.3413037920036,,21.122063959002844,m,1,0.7773199570001452,None,m,True,20.29008845899807,20.3413037920036,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
ball,mirrord,unrelated,nonword,z,5,5,0,z,1,1.4278740000008838,None,0,5,5,98,21.13322275000246,,,,,,,,,,,,,21.12251883400313,21.13322275000246,21.273752792003506,21.27380670900311,21.280440583999734,21.314325833998737,21.318104250000033,21.32475641700148,21.32475641700148,,22.755850125002326,z,1,1.4278740000008838,None,z,True,,21.32475641700148,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
tree,speakert,unrelated,nonword,z,6,6,0,z,1,1.345431333000306,None,0,6,6,95,22.766432083997643,,,,,,,,,,,,,22.756254500003706,22.766432083997643,22.904176541997003,22.90422808400035,22.91395591699984,22.947754334003548,22.952534834003018,22.959110875002807,22.959110875002807,,24.314410124999995,z,1,1.345431333000306,None,z,True,22.91395591699984,22.959110875002807,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
rain,enginez,unrelated,nonword,z,7,7,0,z,1,0.9506092079973314,None,0,7,7,92,24.325366875003965,,,,,,,,,,,,,24.314993708998372,24.325366875003965,24.464134916997864,24.464215959000285,24.470753458997933,24.50421545899735,24.50758508400031,24.529936541999632,24.529936541999632,,25.489135542004078,z,1,0.9506092079973314,None,z,True,24.470753458997933,24.529936541999632,,,,,,,,,,,,03,001,2025-11-17_10h06.58.143,solo project,,2025.1.1,120.09685811259423,2025-11-17 10h07.04.593858 +0530,
