pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.292545541,None,,,,,0,0,0,0,,,,,0.060236591,,0.041189708,0.060236591,0.999685364,0.999685364,0.999685364,0.999685364,1.053127013,1.995344641,1.995344641,2.633764455,x,1,0.292545541,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
150,v,1,1,0,v,1,0.307810638,None,,,,,0,1,1,1,,,,,2.653136474,,2.63410577,2.653136474,3.628336713,3.628336713,3.628336713,3.628336713,3.652216685,4.628340243,4.628340243,4.945660236,v,1,0.307810638,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
50,c,2,2,0,c,1,0.29558532,None,,,,,0,2,2,2,,,,,4.953677012,,4.945979416,4.953677012,5.935643463,5.935643463,5.935643463,5.935643463,5.951615663,6.935404019,6.935404019,7.236889165,c,1,0.29558532,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
-150,z,3,3,0,z,1,0.35069163,None,,,,,0,3,3,3,,,,,7.245387632,,7.237212877,7.245387632,8.235648211,8.235648211,8.235648211,8.235648211,8.235648211,9.236250955,9.236250955,9.59585258,z,1,0.35069163,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
-50,x,4,0,1,x,1,0.19764678,None,,,,,1,0,4,0,,,,,9.6038211,,9.596185878,9.6038211,10.58595386,10.58595386,10.58595386,10.58595386,10.6016286,11.58620705,11.58620705,11.78697485,x,1,0.19764678,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
150,v,5,1,1,v,1,0.24855572,None,,,,,1,1,5,1,,,,,11.79551418,,11.7873207,11.79551418,12.78566038,12.78566038,12.78566038,12.78566038,12.78566038,13.78616113,13.78616113,14.03651228,v,1,0.24855572,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
50,c,6,2,1,c,1,0.256205925,None,,,,,1,2,6,2,,,,,14.04475182,,14.03684364,14.04475182,15.03547316,15.03547316,15.03547316,15.03547316,15.03547316,16.03541152,16.03541152,16.29588906,c,1,0.256205925,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
-150,z,7,3,1,z,1,0.343628631,None,,,,,1,3,7,3,,,,,16.30378689,,16.29620692,16.30378689,17.28587271,17.28587271,17.28587271,17.28587271,17.30186436,18.29492482,18.29492482,18.64554826,z,1,0.343628631,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
-50,x,8,0,2,x,1,0.257361197,None,,,,,2,0,8,0,,,,,18.65409824,,18.64586496,18.65409824,19.63570242,19.63570242,19.63570242,19.63570242,19.65141965,20.63607814,20.63607814,20.89584195,x,1,0.257361197,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
150,v,9,1,2,v,1,0.24279533,None,,,,,2,1,9,1,,,,,20.90171346,,20.89616899,20.90171346,21.88567371,21.88567371,21.88567371,21.88567371,21.89474454,22.89461459,22.89461459,23.14578037,v,1,0.24279533,None,,,,,,,,,,,,,,,4,1,2025-10-02_17h48.13.216,Motor Sequence Learning,,2025.1.1,87.47462554,2025-10-02 17h48.22.951004 +0530
