prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
sun,glass,unrelated,word,m,67,67,0,m,1,0.4718690410009003,None,0,67,67,27,55.42493529100466,,,,,,,,,,,,,55.4145963750052,55.42493529100466,55.564150875005,55.56422087499959,55.57216341599997,55.60617958300281,55.61044799999945,55.61719725000148,55.61719725000148,56.097500333002245,m,1,0.4718690410009003,None,m,True,55.57216341599997,55.61719725000148,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
music,plate,unrelated,word,m,68,68,0,m,1,0.38619829100207426,None,0,68,68,37,56.10830712500319,,,,,,,,,,,,,56.09795629099972,56.10830712500319,56.24533295800211,56.24537908300408,56.25593308300449,56.289520625003206,56.29327983300027,56.29993204100174,56.29993204100174,56.690482625002915,m,1,0.38619829100207426,None,m,True,56.25593308300449,56.29993204100174,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
king,markerv,unrelated,nonword,z,69,69,0,z,1,0.5723502079999889,None,0,69,69,88,56.69780275000085,,,,,,,,,,,,,56.69085841600463,56.69780275000085,56.83927324999968,56.83934683300322,56.846025416001794,56.88183299999946,56.8851459159996,56.89174916600314,56.89174916600314,57.47409504100506,z,1,0.5723502079999889,None,z,True,56.846025416001794,56.89174916600314,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
phone,forestt,unrelated,nonword,z,70,70,0,z,1,0.5280592489943956,None,0,70,70,82,57.484127208001155,,,,,,,,,,,,,57.47445645800326,57.484127208001155,57.62318458300433,57.62322033300006,57.62925937500404,57.662817916003405,57.66701224999997,57.67397250000067,57.67397250000067,58.207726874999935,z,1,0.5280592489943956,None,z,True,57.62925937500404,57.67397250000067,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
tree,leafw,related,nonword,z,71,71,0,z,1,0.4784735829962301,None,0,71,71,70,58.215018957998836,,,,,,,,,,,,,58.20824775000074,58.215018957998836,58.35566875000222,58.35574966599961,58.36253033300454,58.395318416005466,58.39950537500408,58.40657891600131,58.40657891600131,58.89105137500155,z,1,0.4784735829962301,None,z,True,58.36253033300454,58.40657891600131,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
river,water,related,word,m,72,72,0,m,1,0.37897650000377325,None,0,72,72,9,58.901755708000564,,,,,,,,,,,,,58.89150029099983,58.901755708000564,59.04002066600515,59.040092000002915,59.04647683300573,59.07922204100032,59.08322916600446,59.10502170800464,59.10502170800464,59.49112279100518,m,1,0.37897650000377325,None,m,True,59.04647683300573,59.10502170800464,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
shoe,keyboard,unrelated,word,m,73,73,0,m,1,0.479813498997828,None,0,73,73,46,59.5015011659998,,,,,,,,,,,,,59.491524333003326,59.5015011659998,59.63947583299887,59.63952795800287,59.6458434160013,59.689631250003,59.69360516600136,59.70025508300023,59.70025508300023,60.19132358299976,m,1,0.479813498997828,None,m,True,59.6458434160013,59.70025508300023,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
cup,tea,related,word,m,74,74,0,m,1,0.4824142919969745,None,0,74,74,15,60.20200437500171,,,,,,,,,,,,,60.19188216600014,60.20200437500171,60.338994083002035,60.339066500004265,60.3456332909991,60.38930745800462,60.392899582999235,60.404569541002274,60.404569541002274,60.89061116600351,m,1,0.4824142919969745,None,m,True,60.3456332909991,60.404569541002274,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
shirt,clothp,related,nonword,z,75,75,0,z,1,0.5830361249973066,None,0,75,75,66,60.89832016600121,,,,,,,,,,,,,60.89101225000195,60.89832016600121,61.03982750000432,61.03990633300418,61.04654891600512,61.089599333005026,61.093396583004505,61.09999645800417,61.09999645800417,61.69123358300567,z,1,0.5830361249973066,None,z,True,61.04654891600512,61.09999645800417,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
doctor,tabler,unrelated,nonword,z,76,76,0,z,1,0.5628197499972885,None,0,76,76,75,61.70154004100186,,,,,,,,,,,,,61.69163341600506,61.70154004100186,61.83872941600566,61.838793125003576,61.84487641600572,61.878681540998514,61.88298275000125,61.90509154100437,61.90509154100437,62.47439608300192,z,1,0.5628197499972885,None,z,True,61.84487641600572,61.90509154100437,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
teacher,bananaz,unrelated,nonword,z,77,77,0,z,1,0.549338708005962,None,0,77,77,79,62.484779666003305,,,,,,,,,,,,,62.474835666005674,62.484779666003305,62.622741666004,62.62281504100247,62.629130416004045,62.66187812499993,62.66549079100514,62.672654041001806,62.672654041001806,63.224435625001206,z,1,0.549338708005962,None,z,True,62.629130416004045,62.672654041001806,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
cat,dogt,related,nonword,z,78,78,0,z,1,0.5295574999981909,None,0,78,78,51,63.234880333002366,,,,,,,,,,,,,63.2248522910013,63.234880333002366,63.3719387500023,63.37199550000514,63.37811995800439,63.411053708005056,63.413728625004296,63.42134729100508,63.42134729100508,63.95743604100426,z,1,0.5295574999981909,None,z,True,63.37811995800439,63.42134729100508,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
car,enginek,related,nonword,z,79,79,0,z,1,0.5174992499960354,None,0,79,79,56,63.96622154099896,,,,,,,,,,,,,63.95783545800077,63.96622154099896,64.10569616599969,64.10577566600114,64.11243929099874,64.14585612500377,64.14940983300039,64.15643870799977,64.15643870799977,64.6809039159998,z,1,0.5174992499960354,None,z,True,64.11243929099874,64.15643870799977,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
bread,music,unrelated,word,m,80,80,0,m,1,0.39105170800030464,None,0,80,80,28,64.69129312500445,,,,,,,,,,,,,64.68134991600527,64.69129312500445,64.82914325000456,64.82918241600419,64.83930895799858,64.87761287500325,64.8807238330046,64.88784958299948,64.88784958299948,65.28098633300397,m,1,0.39105170800030464,None,m,True,64.83930895799858,64.88784958299948,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
heart,mountain,unrelated,word,m,81,81,0,m,1,0.43231483300041873,None,0,81,81,36,65.29181537499971,,,,,,,,,,,,,65.28138229100296,65.29181537499971,65.42944595800509,65.42949791600404,65.4393673750019,65.47296758300217,65.47709820800083,65.48361470799864,65.48361470799864,65.92420929099899,m,1,0.43231483300041873,None,m,True,65.4393673750019,65.48361470799864,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
tree,speaker,unrelated,word,m,82,82,0,m,1,0.48293604199716356,None,0,82,82,45,65.93297862500185,,,,,,,,,,,,,65.92458841600455,65.93297862500185,66.07276958299917,66.07283191600436,66.07933312500245,66.12290029100404,66.12729950000357,66.13395079100155,66.13395079100155,66.62394608300383,m,1,0.48293604199716356,None,m,True,66.07933312500245,66.13395079100155,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
mother,childo,related,nonword,z,83,83,0,z,1,0.598093542001152,None,0,83,83,55,66.63433291600086,,,,,,,,,,,,,66.62439933299902,66.63433291600086,66.77294175000134,66.77300337500492,66.77952916600043,66.81285991600453,66.8177520829995,66.8247168750022,66.8247168750022,67.43130079100229,z,1,0.598093542001152,None,z,True,66.77952916600043,66.8247168750022,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
king,queen,related,word,m,84,84,0,m,1,0.5268464580003638,None,0,84,84,13,67.44151783300185,,,,,,,,,,,,,67.43175133300247,67.44151783300185,67.58224579100352,67.58228320800117,67.58863279100478,67.62293083300028,67.62719641600415,67.63398483300261,67.63398483300261,68.16419041599875,m,1,0.5268464580003638,None,m,True,,67.63398483300261,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
shoe,sockp,related,nonword,z,85,85,0,z,1,0.6567834159941413,None,0,85,85,71,68.17490291600552,,,,,,,,,,,,,68.16455029100325,68.17490291600552,68.3154259160001,68.31547425000463,68.32204512500175,68.3561324580005,68.36025691599934,68.36610320800537,68.36610320800537,69.03086758300196,z,1,0.6567834159941413,None,z,True,,68.36610320800537,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
bird,cup,unrelated,word,m,86,86,0,m,1,0.7229223739996087,None,0,86,86,35,69.04140037500474,,,,,,,,,,,,,69.03125816600368,69.04140037500474,69.17868950000411,69.178750416002,69.18892583300476,69.22253579099925,69.2259361250035,69.23780845800502,69.23780845800502,69.9639580830044,m,1,0.7229223739996087,None,m,True,69.18892583300476,69.23780845800502,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
heart,beat,related,word,m,87,87,0,m,1,0.3441347910047625,None,0,87,87,11,69.97495224999875,,,,,,,,,,,,,69.96443170800194,69.97495224999875,70.112784500001,70.1128347910053,70.12273179100157,70.15581408300204,70.15946695800085,70.16465345799952,70.16465345799952,70.51351750000322,m,1,0.3441347910047625,None,m,True,70.12273179100157,70.16465345799952,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
doctor,nurse,related,word,m,88,88,0,m,1,0.4420895829971414,None,0,88,88,0,70.52442912500555,,,,,,,,,,,,,70.5139075410043,70.52442912500555,70.66296541599877,70.66301716599992,70.6719248330046,70.70632070799911,70.71011266600544,70.71671879100177,70.71671879100177,71.16460304100474,m,1,0.4420895829971414,None,m,True,70.6719248330046,70.71671879100177,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
book,hammer,unrelated,word,m,89,89,0,m,1,0.48216204100026516,None,0,89,89,33,71.1747488750043,,,,,,,,,,,,,71.16508737500408,71.1747488750043,71.31315062499925,71.31320116600546,71.32216845800576,71.355884083001,71.36074387500412,71.36558891599998,71.36558891599998,71.85776812500262,m,1,0.48216204100026516,None,m,True,71.32216845800576,71.36558891599998,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
cat,pencilu,unrelated,nonword,z,90,90,0,z,1,0.5482349160010926,None,0,90,90,76,71.86817987500399,,,,,,,,,,,,,71.85817683300411,71.86817987500399,72.00602704100311,72.00607666600263,72.01235770800122,72.05590716600273,72.05995491600333,72.06655520800268,72.06655520800268,72.62434287500218,z,1,0.5482349160010926,None,z,True,72.01235770800122,72.06655520800268,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
bread,buttera,related,nonword,z,91,91,0,z,1,0.5857753329983098,None,0,91,91,53,72.63450333299988,,,,,,,,,,,,,72.62471054100024,72.63450333299988,72.77257191600074,72.77264758299862,72.77919250000559,72.8120428330003,72.81579516600323,72.82292716600205,72.82292716600205,73.41376216600474,z,1,0.5857753329983098,None,z,True,72.77919250000559,72.82292716600205,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
king,marker,unrelated,word,m,92,92,0,m,1,0.5593114579969551,None,0,92,92,38,73.4245618749992,,,,,,,,,,,,,73.41415308300202,73.4245618749992,73.56282041600207,73.56288254100218,73.57186195800023,73.60622387500189,73.60988966600416,73.61643016600283,73.61643016600283,74.1807310410004,m,1,0.5593114579969551,None,m,True,73.57186195800023,73.61643016600283,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
music,song,related,word,m,93,93,0,m,1,0.4036817489977693,None,0,93,93,12,74.19143383300252,,,,,,,,,,,,,74.18118741600483,74.19143383300252,74.33197795800515,74.33203012499871,74.33863562500483,74.37287912500324,74.37632195799961,74.38304720800079,74.38304720800079,74.79110204100289,m,1,0.4036817489977693,None,m,True,,74.38304720800079,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
tree,leaf,related,word,m,94,94,0,m,1,0.5612343330067233,None,0,94,94,20,74.80159545800416,,,,,,,,,,,,,74.7915617500039,74.80159545800416,74.93977016600547,74.9398125000007,74.94607466600428,74.97963050000544,74.98295658300049,74.99046554099914,74.99046554099914,75.55794150000293,m,1,0.5612343330067233,None,m,True,74.94607466600428,74.99046554099914,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
mother,bottlex,unrelated,nonword,z,95,95,0,m,0,0.5727672500070184,None,0,95,95,80,75.5683821249986,,,,,,,,,,,,,75.55846316600218,75.5683821249986,75.70588900000439,75.70593766600359,75.71197799999936,75.7460086659994,75.75132520800253,75.757916458002,75.757916458002,76.34127712500049,m,0,0.5727672500070184,None,m,False,75.71197799999936,75.757916458002,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
doctor,nursep,related,nonword,z,96,96,0,z,1,0.4672519580053631,None,0,96,96,50,76.35190074999991,,,,,,,,,,,,,76.34169891600322,76.35190074999991,76.48909633300354,76.48917666600028,76.49569166600122,76.5320875000034,76.53529116600112,76.54138733300351,76.54138733300351,77.01464691600268,z,1,0.4672519580053631,None,z,True,76.49569166600122,76.54138733300351,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
pen,paperz,related,nonword,z,97,97,0,z,1,0.4789298329997109,None,0,97,97,68,77.02471695800341,,,,,,,,,,,,,77.01508204100537,77.02471695800341,77.16291416600143,77.16297304099862,77.17189491599856,77.20565987499867,77.20905108300212,77.21568266599934,77.21568266599934,77.69681679100177,z,1,0.4789298329997109,None,z,True,77.17189491599856,77.21568266599934,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
cup,teaf,related,nonword,z,98,98,0,z,1,0.6279068750009174,None,0,98,98,65,77.70718804100034,,,,,,,,,,,,,77.69717687500088,77.70718804100034,77.84675604099903,77.84680641600426,77.85552224999992,77.88951545800228,77.89299329100322,77.89968141600548,77.89968141600548,78.53079333300411,z,1,0.6279068750009174,None,z,True,77.85552224999992,77.89968141600548,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
sun,glassp,unrelated,nonword,z,99,99,0,z,1,0.5103056659936556,None,0,99,99,77,78.54144675000134,,,,,,,,,,,,,78.53129004099901,78.54144675000134,78.67867458300316,78.6787333329994,78.68861141600064,78.7227763750052,78.72678604099929,78.73325795800338,78.73325795800338,79.2480120830005,z,1,0.5103056659936556,None,z,True,78.68861141600064,78.73325795800338,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.24837983299949,79.25954750000528,79.75478116600425,79.74554495800112,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.74562349999906,79.75478116600425,79.75478116600425,80.27443454100285,space,0.510770541994134,None,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
